iter	Passed	Remaining
0	344	343719
1	921	459697
2	1349	448465
3	1738	432830
4	2136	425090
5	2661	440844
6	3046	432199
7	3413	423257
8	3801	418626
9	4199	415724
10	4558	409881
11	4934	406302
12	5300	402451
13	5678	399961
14	6110	401284
15	6499	399713
16	6861	396773
17	7364	401795
18	7729	399094
19	8148	399287
20	8569	399490
21	9001	400135
22	9429	400567
23	10002	406769
24	10395	405435
25	10816	405211
26	11227	404608
27	11653	404537
28	12258	410457
29	12710	410963
30	13096	409373
31	13511	408711
32	13903	407409
33	14272	405503
34	14666	404363
35	15064	403397
36	15462	402431
37	15918	402983
38	16298	401610
39	16677	400258
40	17066	399189
41	17451	398068
42	17826	396749
43	18199	395429
44	18706	396991
45	19163	397430
46	19550	396412
47	20082	398299
48	20443	396768
49	20886	396848
50	21279	395968
51	21674	395135
52	22072	394385
53	22461	393500
54	22827	392218
55	23373	394012
56	23742	392792
57	24098	391400
58	24452	390000
59	24812	388722
60	25163	387354
61	25538	386366
62	25895	385150
63	26301	384663
64	26650	383354
65	27003	382134
66	27362	381027
67	27714	379853
68	28064	378668
69	28432	377748
70	28793	376745
71	29148	375691
72	29550	375253
73	29920	374412
74	30278	373438
75	30648	372622
76	31121	373053
77	31469	371985
78	31844	371250
79	32206	370376
80	32557	369390
81	32916	368508
82	33268	367553
83	33626	366685
84	33983	365817
85	34378	365373
86	34742	364600
87	35127	364052
88	35608	364485
89	35962	363625
90	36357	363175
91	36735	362562
92	37117	361993
93	37504	361480
94	37871	360779
95	38228	359981
96	38616	359491
97	39006	359021
98	39385	358448
99	40039	360352
100	40421	359795
101	40773	358963
102	41180	358632
103	41550	357976
104	41947	357554
105	42330	357010
106	42707	356431
107	43110	356058
108	43648	356799
109	44026	356212
110	44391	355531
111	44772	354979
112	45124	354208
113	45515	353743
114	45891	353164
115	46260	352537
116	46645	352031
117	47174	352606
118	47647	352754
119	48018	352136
120	48391	351539
121	48746	350814
122	49110	350160
123	49462	349431
124	49818	348732
125	50170	348006
126	50635	348066
127	50999	347431
128	51354	346739
129	51699	345989
130	52056	345318
131	52414	344667
132	52761	343940
133	53108	343223
134	53456	342518
135	53802	341806
136	54151	341114
137	54502	340444
138	54879	339936
139	55286	339619
140	55701	339346
141	56316	340276
142	56732	339995
143	57152	339741
144	57536	339264
145	57916	338772
146	58355	338622
147	58709	337977
148	59066	337352
149	59427	336753
150	59783	336131
151	60199	335847
152	60575	335340
153	60948	334822
154	61334	334369
155	61869	334728
156	62223	334104
157	62583	333516
158	62931	332864
159	63280	332221
160	63628	331581
161	64005	331091
162	64422	330807
163	64791	330276
164	65151	329705
165	65507	329115
166	65860	328515
167	66216	327928
168	66566	327316
169	66921	326735
170	67278	326160
171	67621	325526
172	68147	325769
173	68591	325613
174	68964	325117
175	69379	324824
176	69782	324466
177	70178	324081
178	70538	323529
179	70889	322943
180	71234	322324
181	71579	321715
182	71957	321252
183	72336	320797
184	72712	320326
185	73094	319888
186	73452	319340
187	73822	318851
188	74193	318363
189	74613	318088
190	74985	317609
191	75342	317065
192	75688	316479
193	76038	315911
194	76556	316039
195	76905	315469
196	77497	315888
197	77853	315346
198	78212	314816
199	78601	314405
200	78948	313830
201	79295	313256
202	79659	312753
203	80014	312212
204	80364	311658
205	80827	311537
206	81360	311684
207	81746	311264
208	82107	310752
209	82469	310242
210	83016	310425
211	83389	309956
212	83750	309445
213	84108	308923
214	84464	308395
215	84819	307864
216	85172	307327
217	85541	306849
218	85895	306322
219	86249	305792
220	86594	305237
221	86949	304714
222	87292	304153
223	87639	303607
224	87996	303098
225	88345	302564
226	88688	302009
227	89044	301502
228	89518	301392
229	89916	301024
230	90314	300657
231	90710	300283
232	91076	299809
233	91612	299894
234	91972	299398
235	92345	298948
236	92736	298555
237	93117	298133
238	93486	297670
239	93948	297502
240	94392	297278
241	94871	297158
242	95228	296658
243	95637	296318
244	96005	295853
245	96364	295362
246	96734	294902
247	97091	294405
248	97445	293903
249	97891	293673
250	98492	293907
251	98986	293815
252	99344	293322
253	99746	292957
254	100120	292510
255	100509	292104
256	100877	291642
257	101368	291532
258	101789	291221
259	102158	290759
260	102534	290318
261	102922	289912
262	103273	289401
263	103630	288909
264	104047	288583
265	104433	288172
266	104778	287650
267	105127	287140
268	105538	286798
269	105928	286400
270	106296	285941
271	106667	285492
272	107045	285063
273	107420	284624
274	107773	284131
275	108126	283636
276	108501	283199
277	108861	282726
278	109265	282365
279	109645	281944
280	110016	281501
281	110387	281056
282	110813	280754
283	111230	280426
284	111605	279991
