iter	RMSE
0	258846.546
1	239916.1357
2	224383.9924
3	210010.983
4	197133.1107
5	185004.4286
6	174602.5506
7	165232.4221
8	156883.6956
9	149546.4854
10	143000.9715
11	136381.7757
12	131259.1924
13	126317.6111
14	120429.4609
15	115550.9309
16	111178.5086
17	107321.4127
18	104131.6797
19	100875.1745
20	98256.89373
21	95411.8921
22	92962.9232
23	90591.86721
24	88448.76265
25	86809.24026
26	85337.28407
27	84436.04276
28	83186.9738
29	81820.69262
30	80328.09521
31	79433.40184
32	78336.40068
33	76915.99516
34	75790.12642
35	74853.88321
36	74221.26007
37	73479.8825
38	72602.38302
39	72011.84868
40	71501.54167
41	70685.00982
42	70277.0066
43	69835.22915
44	68962.52897
45	68238.94333
46	67685.53923
47	67333.58109
48	67131.64737
49	66776.25325
50	66312.29804
51	66001.96359
52	65572.57679
53	65239.07642
54	64986.37283
55	64684.62665
56	64474.30071
57	64164.85372
58	63798.2518
59	63534.84642
60	63295.66456
61	63137.31354
62	63009.09999
63	62763.95776
64	62480.41378
65	62323.35932
66	62142.32793
67	61940.15726
68	61729.70063
69	61402.47293
70	61066.30727
71	60872.87679
72	60614.71737
73	60391.57134
74	60196.23106
75	59894.5103
76	59743.61634
77	59613.12047
78	59437.43203
79	59271.70113
80	59103.13463
81	58841.18177
82	58561.66449
83	58278.77788
84	58024.34555
85	57832.03823
86	57722.40974
87	57623.95447
88	57531.69112
89	57258.65963
90	57110.60687
91	56762.31213
92	56576.23727
93	56430.86295
94	56057.09348
95	55900.19421
96	55686.01711
97	55526.52423
98	55372.1356
99	55240.83928
100	55094.09437
101	54978.52329
102	54831.8936
103	54682.7936
104	54452.53663
105	54236.67273
106	53932.55608
107	53731.35623
108	53632.32207
109	53479.31242
110	53227.27546
111	53083.87769
112	52889.15922
113	52747.64031
114	52565.79862
115	52344.47159
116	52258.00183
117	52045.86636
118	51948.39351
119	51831.24571
120	51724.88381
121	51553.02404
122	51440.26229
123	51311.3055
124	51108.94479
125	50989.17271
126	50842.22202
127	50694.91765
128	50521.76524
129	50408.8411
130	50256.89716
131	50137.13352
132	50038.56819
133	49952.47774
134	49875.61287
135	49782.92381
136	49661.70605
137	49505.61739
138	49352.48461
139	49193.08003
140	49045.06254
141	48997.51618
142	48923.43931
143	48819.85764
144	48721.67852
145	48654.37171
146	48562.62705
147	48473.988
148	48362.58038
149	48276.31871
150	48177.23551
151	48045.33845
152	47974.67615
153	47911.08251
154	47830.32828
155	47786.07207
156	47699.87867
157	47580.85936
