iter	Passed	Remaining
398	153721	231545
399	154149	231224
400	154532	230834
401	154882	230397
402	155234	229962
403	155578	229516
404	155926	229077
405	156288	228659
406	156627	228206
407	156984	227781
408	157344	227360
409	157685	226913
410	158035	226479
411	158383	226042
412	158731	225606
413	159083	225175
414	159431	224740
415	159784	224312
416	160131	223876
417	160481	223445
418	160902	223113
419	161249	222678
420	161608	222260
421	161982	221862
422	162340	221442
423	162704	221032
424	163063	220615
425	163418	220192
426	163768	219764
427	164128	219348
428	164498	218947
429	164841	218511
430	165194	218087
431	165553	217671
432	165927	217276
433	166319	216904
434	166691	216506
435	167058	216102
436	167472	215759
437	167955	215504
438	168320	215097
439	168679	214682
440	169038	214268
441	169400	213858
442	169762	213448
443	170123	213036
444	170480	212622
445	170893	212276
446	171274	211889
447	171626	211467
448	172149	211257
449	172511	210847
450	172875	210440
451	173232	210024
452	173580	209598
453	173929	209175
454	174276	208749
455	174681	208392
456	175078	208025
457	175483	207668
458	176002	207445
459	176408	207087
460	176798	206711
461	177237	206393
462	177630	206020
463	178017	205641
464	178451	205315
465	178849	204948
466	179245	204578
467	179765	204349
468	180150	203965
469	180531	203578
470	180904	203181
471	181286	202795
472	181711	202456
473	182123	202102
474	182531	201744
475	183019	201475
476	183434	201123
477	183870	200795
478	184312	200473
479	184708	200101
480	185134	199759
481	185531	199388
482	185901	198987
483	186280	198596
484	186648	198193
485	187078	197857
486	187467	197475
487	187945	197188
488	188409	196885
489	188826	196533
490	189192	196128
491	189611	195777
492	189995	195390
493	190391	195016
494	190764	194618
495	191133	194216
496	191509	193821
497	191915	193456
498	192305	193076
499	192670	192670
500	193050	192279
501	193416	191875
502	193774	191463
503	194145	191063
504	194504	190652
505	194885	190263
506	195440	190043
507	195993	189820
508	196375	189430
509	196811	189093
510	197205	188714
511	197575	188314
512	197983	187949
513	198348	187543
514	198707	187132
515	199086	186740
516	199462	186345
517	199827	185939
518	200356	185687
519	200742	185300
520	201121	184908
521	201489	184505
522	201923	184163
523	202306	183774
524	202682	183379
525	203057	182983
526	203467	182619
527	203842	182222
528	204199	181811
529	204555	181397
