iter	R2	RMSE
396	0.94435976	109783.6596
397	0.9446049571	109541.4936
398	0.9446780396	109469.2108
399	0.9448046438	109343.879
400	0.9450479419	109102.622
401	0.9451617849	108989.5506
402	0.9452867324	108865.3148
403	0.9453728673	108779.5879
404	0.9454544565	108698.3228
405	0.9455275412	108625.4769
406	0.9456109837	108542.2472
407	0.9457180329	108435.3774
408	0.9459140036	108239.4617
409	0.9460098576	108143.5054
410	0.9461022217	108050.9621
411	0.946237145	107915.6344
412	0.9463315645	107820.8308
413	0.9464037396	107748.3059
414	0.946524368	107626.9837
415	0.9466430763	107507.4591
416	0.9470007621	107146.5073
417	0.947137516	107008.183
418	0.9472851563	106858.6462
419	0.9473465706	106796.3814
420	0.9475066929	106633.8706
421	0.9475994271	106539.6397
422	0.947693247	106444.2208
423	0.9478794401	106254.6004
424	0.9479335465	106199.4347
425	0.9480869118	106042.9105
426	0.9482187083	105908.2145
427	0.9483430517	105780.9784
428	0.9484274622	105694.5169
429	0.9486462537	105470.0792
430	0.9488088074	105303.0209
431	0.948893364	105216.0162
432	0.9489657581	105141.4689
433	0.9491072955	104995.569
434	0.9491588216	104942.4044
435	0.9492731067	104824.3888
436	0.9494793696	104611.0562
437	0.9496101721	104475.5446
438	0.9496500418	104434.2047
439	0.9497639054	104316.0518
440	0.9500361664	104032.9906
441	0.9501166823	103949.1331
442	0.9502197678	103841.6703
443	0.9502713521	103787.854
444	0.9504084054	103644.7344
445	0.9506261239	103416.972
446	0.9506815975	103358.8591
447	0.9507232726	103315.1797
448	0.9508677998	103163.5582
449	0.9509976005	103027.1959
450	0.9511253349	102892.8279
451	0.9512656137	102745.0617
452	0.9514411459	102559.8605
453	0.9515107791	102486.2989
454	0.951589897	102402.6533
455	0.9517872013	102193.7598
456	0.9519092562	102064.3216
457	0.9519932335	101975.169
458	0.9521285487	101831.3505
459	0.9522763977	101673.9779
460	0.9523897776	101553.1295
461	0.9524578906	101480.4606
462	0.9525131452	101421.4719
463	0.952556903	101374.7326
464	0.9525975419	101331.3054
465	0.9526363841	101289.7809
466	0.9527788509	101137.3295
467	0.952819336	101093.9651
468	0.9529550018	100948.515
469	0.9530672343	100828.0296
470	0.9533310292	100544.2683
471	0.953443953	100422.5523
472	0.9535591203	100298.2661
473	0.9536448286	100205.6714
474	0.9537524749	100089.2545
475	0.9539129276	99915.47717
476	0.9539913877	99830.39135
477	0.9540537004	99762.7648
478	0.9541522049	99655.76646
479	0.9543390124	99452.53477
480	0.9544434137	99338.77345
