iter	RMSE
0	260655.7671
1	241473.5819
2	224629.8295
3	210553.052
4	197211.0595
5	184678.1706
6	173904.3086
7	163806.4689
8	154917.24
9	146909.818
10	140472.4703
11	134532.3547
12	129599.7493
13	124759.2417
14	119041.8487
15	113722.5356
16	108917.48
17	104806.1126
18	101285.0781
19	97789.57677
20	94803.42363
21	92304.59619
22	89961.31155
23	87883.71567
24	85686.34277
25	83829.28618
26	82375.56862
27	81135.35642
28	79771.9969
29	78743.82517
30	77504.32738
31	76435.87052
32	75374.82005
33	74514.10904
34	73363.59633
35	72611.31539
36	71906.03064
37	71243.00811
38	70667.53591
39	70294.66552
40	69930.42466
41	69412.96278
42	68886.57555
43	68333.08077
44	67922.98032
45	67402.48216
46	66968.36496
47	66401.65438
48	65961.37127
49	65705.97683
50	65062.46124
51	64713.30791
52	64448.49274
53	64059.46206
54	63809.21508
55	63513.20173
56	63327.46295
57	63154.4881
58	62906.49149
59	62631.06371
60	62305.51535
61	62154.46799
62	61830.68134
63	61574.41351
64	61422.73042
65	61064.73325
66	60837.00673
67	60693.81729
68	60393.42206
69	60309.67069
70	60150.4132
71	60004.22582
72	59900.10741
73	59717.69539
74	59444.32067
75	59211.06537
76	59100.01064
77	58831.94693
78	58662.64368
79	58419.81465
80	58244.77172
81	58036.2886
82	57851.86832
83	57721.25375
84	57473.19476
85	57315.65306
86	57149.01601
87	57002.9045
88	56869.68554
89	56702.23295
90	56453.06814
91	56318.65781
92	56168.93745
93	55960.73183
94	55849.87332
95	55685.12915
96	55506.79559
97	55351.71408
98	55234.63459
99	55015.5747
100	54855.00426
101	54681.1551
102	54585.62598
103	54492.38388
104	54362.28879
105	54200.12168
106	53996.62986
107	53750.49635
108	53617.44629
109	53554.93216
110	53389.0426
111	53163.44897
112	53014.53545
113	52856.13429
114	52693.21877
115	52593.30392
116	52541.00153
117	52416.58333
118	52289.0375
119	52102.16182
120	51928.48232
121	51713.5053
122	51627.47237
123	51532.0756
124	51399.71138
125	51332.97576
126	51252.35827
127	51160.91451
128	51018.54015
129	50920.74545
130	50799.01353
131	50659.70755
132	50492.7112
133	50384.30218
134	50298.19475
135	50218.42785
136	50049.27203
137	49968.71903
138	49909.55806
139	49807.70127
140	49676.51359
141	49596.69682
142	49474.45846
143	49369.22721
144	49279.14204
145	49149.65089
146	49013.9915
147	48906.80833
148	48816.65759
149	48684.38701
150	48594.266
151	48487.86514
152	48395.54895
153	48321.59288
154	48220.09003
155	48112.1982
156	48059.19127
157	48000.68501
158	47959.57025
159	47822.68326
160	47719.21979
161	47612.89654
162	47510.96038
163	47438.34486
164	47343.39498
165	47270.45978
166	47193.6353
167	47112.07184
168	46977.32536
169	46901.15387
170	46823.98756
171	46722.59079
172	46640.88248
173	46584.74515
174	46493.77271
175	46431.02351
176	46341.9382
177	46256.59764
178	46143.96735
179	46081.48353
180	46004.09037
181	45914.73675
182	45817.76157
183	45716.98161
184	45635.66695
185	45564.85541
186	45478.83357
187	45413.69569
188	45335.56835
189	45236.47689
190	45182.82804
191	45100.64482
192	45017.66935
193	44940.45306
194	44884.86829
195	44792.31852
196	44740.26235
197	44680.17941
198	44614.80242
199	44545.4006
200	44478.6583
201	44398.67024
202	44313.34469
203	44207.67477
204	44163.8889
205	44067.51701
206	43966.34355
207	43912.64232
208	43849.02233
209	43792.52909
210	43751.25036
211	43719.81091
212	43656.01052
213	43588.19174
214	43539.1194
215	43450.09085
216	43376.8621
217	43328.8474
218	43269.69734
219	43198.56368
220	43121.53662
221	43064.23894
222	42968.97463
223	42906.5354
224	42835.58115
225	42791.20917
226	42748.66325
227	42656.9393
228	42606.88797
229	42552.30297
230	42501.17143
231	42423.43991
232	42342.17674
233	42302.69901
234	42214.5794
235	42172.6426
236	42125.38469
237	42066.75825
238	42021.25214
239	41951.36978
240	41901.35636
241	41847.20268
242	41762.23218
243	41715.5341
244	41680.15107
245	41627.5061
246	41560.02675
247	41521.63129
248	41474.34276
249	41405.50888
250	41337.27649
251	41309.20044
252	41249.27988
253	41205.10699
254	41143.32287
255	41087.8976
256	41025.41475
257	40996.00451
258	40956.50965
259	40913.15926
260	40877.58647
261	40817.80369
262	40757.09215
263	40689.30764
264	40650.83986
265	40616.83316
266	40564.83528
267	40530.87961
268	40455.69648
269	40417.4319
270	40346.21306
271	40314.1449
272	40242.32744
273	40190.50842
274	40149.2863
275	40097.11744
276	40017.05408
277	39964.81011
278	39916.1331
279	39882.79737
280	39826.60652
281	39767.77924
282	39739.75416
283	39669.43411
284	39603.50439
285	39538.04749
286	39487.17943
287	39441.43344
288	39395.24264
289	39344.03268
290	39289.17313
291	39211.34018
292	39158.42294
293	39132.34932
294	39075.25384
295	39018.26806
296	38976.64394
297	38923.14521
298	38904.78212
299	38860.91355
300	38799.46634
301	38755.31021
302	38698.70158
303	38658.70227
304	38632.06724
305	38577.0924
306	38543.14484
307	38499.99624
308	38461.52288
309	38430.26059
310	38355.79662
311	38304.78006
312	38264.0291
313	38231.19656
314	38175.3675
315	38133.59467
316	38082.02844
317	38036.84115
318	38007.26703
319	37981.90557
320	37931.71875
321	37897.29855
322	37861.77026
323	37826.87002
324	37788.48735
325	37757.90991
326	37701.1051
327	37668.08442
328	37614.79281
329	37582.30832
330	37540.03744
331	37507.41287
332	37462.126
333	37410.05454
334	37345.83136
335	37302.12138
336	37263.17594
337	37218.66409
338	37150.01551
339	37099.47517
340	37072.59112
341	37037.03516
342	36994.69496
343	36960.8169
344	36937.70969
345	36871.99788
346	36819.4866
347	36770.53466
348	36734.43153
349	36705.4878
350	36668.91907
351	36621.37156
352	36591.03644
353	36544.96981
354	36496.31095
355	36457.08122
356	36428.06865
357	36373.80445
358	36328.47228
359	36302.60636
360	36254.47999
361	36205.87806
362	36165.66028
363	36137.44056
364	36113.58545
365	36073.06246
366	36039.08693
367	36000.178
368	35975.76192
369	35944.37466
370	35891.17976
371	35849.49035
372	35819.55829
373	35781.59822
374	35738.34439
375	35705.00093
376	35671.37844
377	35648.00343
378	35581.60542
379	35551.75638
380	35516.88876
381	35483.0165
382	35425.51737
383	35385.39124
384	35352.29746
385	35328.03289
386	35293.48769
387	35253.4854
388	35229.58617
389	35190.82479
390	35155.86518
391	35131.30883
392	35099.00617
393	35066.71078
394	35028.30882
395	35005.48061
396	34975.7944
397	34947.28334
398	34923.05079
399	34881.52911
400	34850.16591
401	34814.25892
402	34771.99377
403	34749.93501
404	34718.1468
405	34700.74546
406	34667.41427
407	34646.31531
408	34619.86102
409	34591.6294
410	34565.80541
411	34533.57812
412	34495.95762
413	34465.25083
414	34432.82813
415	34391.6039
416	34369.04856
417	34349.6656
418	34324.37339
419	34290.09985
420	34259.62108
421	34234.1997
422	34189.41007
423	34166.02037
424	34136.98828
425	34116.06739
426	34071.13772
427	34036.14481
428	34011.1849
429	33986.07635
430	33958.62653
431	33934.59572
432	33896.99002
433	33865.01274
434	33817.96032
435	33787.02373
436	33733.60184
437	33706.62562
438	33677.60123
439	33645.72217
440	33618.15196
441	33594.22372
442	33562.8977
443	33540.19002
444	33505.5629
445	33485.0961
446	33442.09978
447	33415.29315
448	33388.43234
449	33356.77308
450	33327.68876
451	33288.563
452	33267.73383
453	33234.87078
454	33210.41951
455	33184.69306
456	33143.11754
457	33113.61597
458	33094.83096
459	33058.80151
460	33007.19883
461	32966.26865
462	32940.12239
463	32896.45583
464	32858.42804
465	32828.89359
466	32794.74882
467	32768.4158
468	32740.90884
469	32711.44973
470	32676.452
471	32649.43876
472	32632.9381
473	32614.46058
474	32585.95539
475	32557.85725
476	32526.42654
477	32493.48719
478	32445.76533
479	32413.4356
480	32383.52247
481	32355.89939
482	32323.10683
483	32303.64276
484	32279.01088
485	32261.58129
486	32237.02882
487	32198.56356
488	32176.57007
489	32150.59255
490	32132.07106
491	32106.38018
492	32086.42653
493	32057.52063
494	32035.64707
495	32002.093
496	31976.19096
497	31951.46623
498	31925.47438
499	31907.75755
500	31881.49279
501	31867.68027
502	31817.84309
503	31785.01479
504	31752.58147
505	31740.32063
506	31710.35909
507	31694.75099
508	31675.73518
509	31650.78193
510	31626.43878
511	31608.29998
512	31571.84788
513	31551.81046
514	31527.38266
515	31501.51236
516	31484.58702
517	31455.07047
518	31424.94897
519	31399.03236
520	31368.54839
521	31343.9387
522	31323.00653
523	31292.30391
524	31268.14144
525	31244.30367
526	31221.1935
527	31189.79397
528	31158.44686
529	31137.51863
530	31115.66356
531	31082.9485
532	31053.74115
533	31036.2089
534	31021.65362
535	31000.48928
536	30983.68274
537	30960.55876
538	30938.98027
539	30921.71671
540	30881.19577
541	30854.09549
542	30823.18403
543	30809.76321
544	30772.50156
545	30750.45053
546	30732.59481
547	30697.32512
548	30677.01925
549	30647.49699
550	30629.99683
551	30603.86678
552	30582.73774
553	30550.25405
554	30523.82628
555	30510.01618
