iter	Passed	Remaining
0	353	353520
1	993	495986
2	1363	453196
3	1740	433407
4	2150	427996
5	2533	419641
6	2921	414384
7	3324	412252
8	3691	406519
9	4059	401917
10	4425	397854
11	4795	394800
12	5160	391825
13	5516	388489
14	5928	389327
15	6433	395641
16	6800	393234
17	7312	398920
18	7684	396756
19	8075	395698
20	8444	393666
21	8811	391733
22	9184	390154
23	9550	388382
24	9917	386782
25	10276	384976
26	10668	384447
27	11044	383411
28	11428	382665
29	11836	382726
30	12346	385920
31	12721	384823
32	13110	384183
33	13513	383931
34	13888	382919
35	14284	382513
36	14643	381139
37	15060	381274
38	15438	380421
39	15850	380409
40	16226	379549
41	16590	378418
42	16950	377248
43	17304	375972
44	17841	378626
45	18243	378354
46	18634	377842
47	19164	380097
48	19576	379937
49	19958	379207
50	20355	378773
51	20737	378064
52	21101	377041
53	21501	376667
54	21891	376143
55	22269	375395
56	22693	375436
57	23081	374879
58	23614	376634
59	23985	375775
60	24500	377149
61	24865	376191
62	25326	376674
63	25706	375953
64	26072	375039
65	26443	374215
66	26816	373429
67	27308	374286
68	27690	373626
69	28115	373533
70	28473	372561
71	28844	371770
72	29213	370976
73	29581	370170
74	29976	369705
75	30352	369018
76	30889	370272
77	31251	369407
78	31609	368515
79	31965	367605
80	32320	366692
81	32707	366159
82	33082	365497
83	33473	365016
84	33941	365365
85	34350	365069
86	34724	364407
87	35167	364458
88	35529	363678
89	35887	362857
90	36237	361974
91	36590	361132
92	37034	361184
93	37473	361176
94	37848	360557
95	38311	360766
96	38788	361095
97	39226	361045
98	39674	361082
99	40100	360908
100	40549	360930
101	40946	360487
102	41335	359982
103	41732	359539
104	42129	359107
105	42665	359841
106	43200	360540
107	43604	360139
108	44007	359733
109	44416	359369
110	44819	358962
111	45252	358784
112	45627	358154
113	46005	357552
114	46381	356932
115	46798	356634
116	47196	356189
117	47612	355880
118	48163	356572
119	48530	355891
120	48960	355673
121	49349	355152
122	49719	354501
123	50153	354312
124	50570	353990
125	50968	353546
126	51543	354310
127	51960	353982
128	52401	353814
129	52815	353455
130	53241	353185
131	53603	352486
132	53962	351770
133	54337	351167
134	54705	350517
135	55084	349949
136	55437	349218
137	55925	349334
138	56292	348686
139	56699	348294
140	57075	347717
141	57458	347176
142	57968	347405
143	58483	347654
144	58976	347755
145	59329	347035
146	59687	346352
147	60036	345615
148	60384	344882
149	60851	344826
150	61454	345528
151	61925	345476
152	62477	345872
153	62945	345788
154	63457	345946
155	63872	345567
156	64275	345124
157	64626	344403
158	64991	343762
159	65363	343158
160	65747	342620
161	66110	341976
162	66526	341612
163	66896	341010
164	67469	341437
165	67855	340913
166	68231	340337
167	68619	339828
168	68994	339259
169	69382	338748
170	69766	338224
171	70141	337659
172	70576	337379
173	70972	336913
174	71372	336470
175	71881	336534
176	72312	336234
177	72683	335648
178	73070	335145
179	73493	334802
180	73897	334375
181	74280	333855
182	74720	333587
183	75104	333073
184	75486	332547
185	75851	331953
186	76406	332184
187	76816	331784
188	77207	331296
189	77711	331295
190	78204	331244
191	78608	330809
192	78991	330292
193	79424	329978
194	79803	329445
195	80207	329012
196	80626	328646
197	81010	328133
198	81560	328292
199	82086	328347
200	82467	327820
201	82848	327291
202	83226	326756
203	83618	326274
204	84120	326222
205	84562	325934
206	85023	325718
207	85489	325517
208	85897	325095
209	86330	324767
210	86795	324557
211	87250	324306
212	87664	323905
213	88095	323564
214	88488	323087
215	88870	322567
216	89244	322021
217	89611	321450
218	89978	320880
219	90518	320930
220	90907	320439
221	91294	319942
222	91669	319405
223	92019	318782
224	92389	318229
225	92753	317659
226	93101	317037
227	93470	316488
228	93834	315922
229	94185	315316
230	94544	314739
231	94907	314177
232	95279	313644
233	95655	313128
234	96022	312584
235	96380	312010
236	96876	311883
237	97227	311290
238	97589	310735
239	97944	310156
240	98292	309559
241	98696	309139
242	99068	308619
243	99427	308061
244	99980	308103
245	100335	307533
246	100688	306956
247	101042	306386
248	101388	305792
249	101736	305210
250	102082	304621
251	102433	304049
252	102781	303470
253	103134	302907
254	103492	302361
255	103838	301780
256	104182	301197
257	104531	300628
258	104876	300052
259	105218	299468
260	105564	298897
261	105916	298343
262	106258	297767
263	106610	297216
264	106957	296655
265	107306	296101
266	107648	295528
267	107999	294984
268	108348	294434
269	108693	293874
270	109041	293326
271	109404	292819
272	109756	292282
273	110174	291921
274	110538	291420
275	110905	290926
276	111276	290444
277	111637	289936
278	111984	289393
279	112338	288871
280	112694	288352
281	113067	287880
282	113434	287393
283	113792	286885
284	114173	286435
285	114561	286004
286	114946	285562
287	115329	285120
288	115680	284597
289	116032	284080
290	116409	283624
291	116792	283182
292	117160	282704
293	117534	282243
294	117881	281717
295	118249	281241
296	118738	281055
297	119083	280526
298	119430	280003
299	119778	279482
300	120123	278958
301	120479	278459
302	120861	278022
303	121228	277550
304	121577	277037
305	121932	276540
306	122289	276048
307	122649	275562
308	123024	275112
309	123373	274604
310	123729	274115
311	124073	273598
312	124426	273101
313	124771	272590
314	125129	272107
315	125486	271622
316	125836	271123
317	126191	270636
318	126545	270149
319	126894	269650
320	127263	269195
321	127644	268766
322	128017	268321
323	128399	267896
324	128755	267414
325	129221	267162
326	129595	266721
327	129963	266267
328	130327	265805
329	130675	265311
330	131032	264836
331	131392	264367
332	131748	263893
333	132103	263416
334	132462	262948
335	132817	262472
336	133167	261987
337	133528	261525
338	133874	261036
339	134269	260641
340	134640	260199
341	134989	259717
342	135483	259511
343	135843	259049
344	136206	258595
345	136569	258139
346	136920	257663
347	137304	257248
348	137673	256807
349	138051	256381
350	138419	255937
351	138784	255490
352	139297	255313
353	139651	254844
354	140000	254367
355	140353	253898
356	140708	253432
357	141056	252956
358	141406	252482
359	141761	252020
360	142169	251651
361	142537	251211
362	142892	250750
363	143354	250476
364	143792	250159
365	144172	249742
366	144574	249361
367	145016	249050
368	145378	248601
369	145858	248353
370	146255	247963
371	146624	247527
372	146996	247095
373	147361	246653
374	147717	246195
375	148108	245797
376	148478	245364
377	148852	244937
378	149257	244561
379	149633	244139
380	149998	243698
381	150349	243234
382	150857	243026
383	151224	242588
384	151576	242129
385	151928	241668
386	152323	241277
387	152697	240852
388	153083	240447
389	153447	240007
390	153799	239549
391	154305	239331
392	154677	238904
393	155032	238451
394	155385	237995
395	155733	237532
396	156081	237070
397	156431	236612
398	156783	236158
399	157132	235698
400	157482	235241
401	157830	234783
402	158186	234335
403	158533	233876
404	158902	233449
405	159253	232996
406	159599	232537
407	159962	232102
408	160326	231669
409	160679	231221
410	161026	230765
411	161386	230328
412	161741	229885
413	162095	229439
414	162458	229008
415	162816	228568
416	163168	228122
417	163522	227680
418	163875	227236
419	164235	226801
420	164586	226355
421	165002	225998
422	165380	225590
423	165753	225174
424	166123	224755
425	166483	224322
426	167027	224137
427	167420	223749
428	167775	223310
429	168120	222857
430	168478	222422
431	168830	221980
432	169214	221581
433	169646	221243
434	170044	220861
435	170417	220448
436	170961	220255
437	171318	219819
438	171658	219363
439	172006	218917
440	172358	218476
441	172709	218035
442	173049	217581
443	173394	217133
444	173756	216707
445	174103	216263
446	174454	215823
447	174803	215382
448	175150	214940
449	175503	214503
450	175849	214060
451	176195	213617
452	176540	213173
453	176891	212737
454	177240	212299
455	177583	211854
456	177931	211415
457	178276	210973
458	178616	210525
459	178965	210089
460	179318	209659
461	179662	209217
462	180020	208792
463	180373	208361
464	180721	207927
465	181071	207493
466	181424	207064
467	181769	206627
468	182117	206192
469	182465	205759
470	182816	205328
471	183161	204892
